Date,Code,Name,Open,Close,High,Low,Volume
2010-01-04,'000063,中兴通讯,45.04,45.4,45.5,44.21,11721358
2010-01-05,'000063,中兴通讯,45.47,46.25,46.68,44.93,14743225
2010-01-06,'000063,中兴通讯,46.3,45.3,46.58,45.2,10429259
2010-01-07,'000063,中兴通讯,45.21,43.21,45.24,42.73,18683708
2010-01-08,'000063,中兴通讯,43.2,43.39,43.98,42.51,13747732
2010-01-11,'000063,中兴通讯,44.0,43.5,44.98,42.7,13888192
2010-01-12,'000063,中兴通讯,43.2,46.61,46.63,43.14,21228229
2010-01-13,'000063,中兴通讯,45.73,48.6,48.78,45.4,27538314
2010-01-14,'000063,中兴通讯,48.49,48.25,48.97,47.85,15084491
2010-01-15,'000063,中兴通讯,48.2,47.3,48.6,46.8,8486045
2010-01-18,'000063,中兴通讯,47.0,49.1,49.15,45.94,12414331
2010-01-19,'000063,中兴通讯,48.8,47.5,49.0,47.5,10168750
2010-01-20,'000063,中兴通讯,47.4,45.65,47.4,45.55,10267765
2010-01-21,'000063,中兴通讯,45.76,45.65,46.11,44.6,7566544
2010-01-22,'000063,中兴通讯,45.0,44.06,45.2,43.45,7803061
2010-01-25,'000063,中兴通讯,44.0,44.03,45.25,43.71,7427586
2010-01-26,'000063,中兴通讯,44.01,43.86,44.19,42.58,8934274
2010-01-27,'000063,中兴通讯,43.78,43.4,44.55,42.95,9586003
2010-01-28,'000063,中兴通讯,43.6,43.2,43.9,42.99,4452947
2010-01-29,'000063,中兴通讯,43.09,43.43,44.3,42.86,8608217
2010-02-01,'000063,中兴通讯,43.64,42.1,44.29,40.95,15843014
2010-02-02,'000063,中兴通讯,42.1,41.3,43.01,41.14,10221699
2010-02-03,'000063,中兴通讯,41.16,42.2,42.69,40.68,8894706
2010-02-04,'000063,中兴通讯,42.05,43.0,43.1,41.71,8043983
2010-02-05,'000063,中兴通讯,42.3,42.7,43.08,42.0,8017370
2010-02-08,'000063,中兴通讯,42.7,43.0,43.54,42.22,5294084
2010-02-09,'000063,中兴通讯,42.67,42.41,42.95,41.9,4925066
2010-02-10,'000063,中兴通讯,42.52,43.46,43.68,42.51,8621492
2010-02-11,'000063,中兴通讯,42.85,42.8,43.32,42.71,12184768
2010-02-12,'000063,中兴通讯,42.79,42.5,43.15,42.4,9479195
2010-02-22,'000063,中兴通讯,42.44,42.52,42.75,42.0,5744207
2010-02-23,'000063,中兴通讯,42.45,43.95,44.36,42.4,8573396
2010-02-24,'000063,中兴通讯,43.7,45.85,46.16,43.5,8723998
2010-02-25,'000063,中兴通讯,47.0,45.96,47.0,45.75,7240667
2010-02-26,'000063,中兴通讯,45.96,46.14,46.2,45.1,5403744
2010-03-01,'000063,中兴通讯,46.1,45.99,46.75,45.8,5856936
2010-03-02,'000063,中兴通讯,45.8,45.9,46.34,45.3,4849112
2010-03-03,'000063,中兴通讯,45.65,46.12,46.33,45.35,4376610
2010-03-04,'000063,中兴通讯,46.1,45.0,47.25,45.0,5002328
2010-03-05,'000063,中兴通讯,44.88,45.05,45.85,44.6,4453334
2010-03-08,'000063,中兴通讯,45.01,44.48,45.05,44.17,6560915
2010-03-09,'000063,中兴通讯,44.49,44.13,44.78,43.88,5216612
2010-03-10,'000063,中兴通讯,44.14,44.18,44.38,43.8,5967881
2010-03-11,'000063,中兴通讯,44.34,44.4,44.63,43.7,3645486
2010-03-12,'000063,中兴通讯,44.5,42.98,44.5,42.7,6871334
2010-03-15,'000063,中兴通讯,42.88,41.9,42.88,41.5,7015111
2010-03-16,'000063,中兴通讯,41.9,42.31,42.5,41.41,3526672
2010-03-17,'000063,中兴通讯,42.5,43.16,43.4,42.08,4904067
2010-03-18,'000063,中兴通讯,43.44,43.28,43.8,43.13,4656959
2010-03-19,'000063,中兴通讯,43.3,43.1,43.55,42.5,5290578
2010-03-22,'000063,中兴通讯,43.27,42.85,43.27,42.38,5523894
2010-03-23,'000063,中兴通讯,42.94,42.32,43.35,42.24,4581509
2010-03-24,'000063,中兴通讯,42.4,42.69,43.15,42.16,6776393
2010-03-25,'000063,中兴通讯,42.71,42.87,43.03,42.23,5422553
2010-03-26,'000063,中兴通讯,43.01,43.3,43.66,42.64,6935177
2010-03-29,'000063,中兴通讯,43.46,43.32,43.6,42.91,8203054
2010-03-31,'000063,中兴通讯,43.58,42.5,43.6,42.28,13300909
2010-04-01,'000063,中兴通讯,42.49,42.3,42.68,42.1,18376374
2010-04-02,'000063,中兴通讯,42.49,40.34,42.52,40.3,30926046
2010-04-06,'000063,中兴通讯,40.35,41.21,41.58,39.98,22966823
2010-04-07,'000063,中兴通讯,41.15,41.54,41.87,40.89,11533960
2010-04-08,'000063,中兴通讯,41.5,41.1,41.75,40.35,10753695
2010-04-09,'000063,中兴通讯,41.85,42.3,42.45,41.8,16964664
2010-04-12,'000063,中兴通讯,42.5,44.0,44.06,42.5,20119603
2010-04-13,'000063,中兴通讯,44.03,43.7,44.38,42.37,14420368
2010-04-14,'000063,中兴通讯,43.55,43.0,43.55,42.76,8616051
2010-04-15,'000063,中兴通讯,42.98,42.85,43.38,42.6,6277074
2010-04-16,'000063,中兴通讯,43.0,42.91,43.26,42.6,5824467
2010-04-19,'000063,中兴通讯,42.6,41.2,42.66,40.87,9974075
2010-04-20,'000063,中兴通讯,41.14,41.05,41.48,40.41,8462463
2010-04-21,'000063,中兴通讯,41.22,41.38,41.5,40.82,12989476
2010-04-22,'000063,中兴通讯,41.39,40.56,41.44,40.0,14187134
2010-04-23,'000063,中兴通讯,40.56,39.5,40.98,39.12,12786302
2010-04-26,'000063,中兴通讯,39.79,40.8,41.6,39.77,17319429
2010-04-27,'000063,中兴通讯,40.5,41.55,41.78,39.78,14306170
2010-04-28,'000063,中兴通讯,40.9,41.66,42.3,40.4,10787360
2010-04-29,'000063,中兴通讯,41.77,40.5,42.35,39.8,10493909
2010-04-30,'000063,中兴通讯,37.39,37.25,38.5,36.45,32197602
2010-05-04,'000063,中兴通讯,36.1,36.85,37.54,36.1,6483883
2010-05-05,'000063,中兴通讯,37.05,36.06,37.19,35.55,16435085
2010-05-06,'000063,中兴通讯,36.1,34.18,36.38,34.12,20345026
2010-05-07,'000063,中兴通讯,33.85,34.25,34.69,33.0,12237579
2010-05-10,'000063,中兴通讯,34.14,34.49,34.85,33.8,11473621
2010-05-11,'000063,中兴通讯,35.2,34.45,36.0,34.36,13621926
2010-05-12,'000063,中兴通讯,34.39,34.1,34.85,33.31,7463841
2010-05-13,'000063,中兴通讯,34.11,35.61,35.63,34.11,8046194
2010-05-14,'000063,中兴通讯,35.55,35.29,35.55,34.8,4876077
2010-05-17,'000063,中兴通讯,34.6,33.5,34.97,33.3,5480441
2010-05-18,'000063,中兴通讯,33.39,34.1,34.48,33.22,6253772
2010-05-19,'000063,中兴通讯,34.08,34.35,34.76,33.89,5977961
2010-05-20,'000063,中兴通讯,34.29,33.78,35.3,33.6,9608387
2010-05-21,'000063,中兴通讯,33.25,34.02,34.08,32.9,6393546
2010-05-24,'000063,中兴通讯,34.35,35.12,35.45,34.3,7262055
2010-05-25,'000063,中兴通讯,35.0,34.48,35.1,34.28,4643547
2010-05-26,'000063,中兴通讯,34.55,35.13,35.35,34.55,5150573
2010-05-27,'000063,中兴通讯,35.0,35.67,35.79,34.55,5569697
2010-05-28,'000063,中兴通讯,36.0,36.13,36.8,35.74,6777855
2010-05-31,'000063,中兴通讯,35.99,35.05,36.25,35.02,3715668
2010-06-01,'000063,中兴通讯,34.78,33.8,35.3,33.43,5769165
2010-06-02,'000063,中兴通讯,33.8,35.01,35.04,32.96,7059982
2010-06-04,'000063,中兴通讯,34.88,34.05,34.88,33.75,6028888
2010-06-07,'000063,中兴通讯,33.3,31.8,33.5,31.79,16702399
2010-06-08,'000063,中兴通讯,32.08,31.72,32.66,31.65,10053140
2010-06-09,'000063,中兴通讯,32.02,32.42,32.5,31.65,9253454
